2020-10-10,32684
2020-10-09,32649
2020-10-08,32539
2020-10-07,32466
2020-10-06,32386
2020-10-05,32299
2020-10-04,32228
2020-10-03,32196
2020-10-02,32171
2020-10-01,32035
2020-09-30,31978
2020-09-29,31898
2020-09-28,31825
2020-09-27,31741
2020-09-26,31714
2020-09-25,31675
2020-09-24,31524
2020-09-23,31478
2020-09-22,31430
2020-09-21,31351
2020-09-20,31298
2020-09-19,31287
2020-09-18,31262
2020-09-17,31108
2020-09-16,31061
2020-09-15,31013
2020-09-14,30963
2020-09-13,30929
2020-09-12,30924
2020-09-11,30906
2020-09-10,30824
2020-09-09,30805
2020-09-08,30773
2020-09-07,30735
2020-09-06,30712
2020-09-05,30708
2020-09-04,30696
2020-09-03,30717
2020-09-02,30700
2020-09-01,30673
2020-08-31,30646
2020-08-30,30615
2020-08-29,30612
2020-08-28,30606
2020-08-27,30588
2020-08-26,30553
2020-08-25,30553
2020-08-24,30534
2020-08-23,30518
2020-08-22,30518
2020-08-21,30509
2020-08-20,30485
2020-08-19,30474
2020-08-18,30456
2020-08-17,30434
2020-08-16,30414
2020-08-15,30413
2020-08-14,30412
2020-08-13,30393
2020-08-12,30376
2020-08-11,30358
2020-08-10,30344
2020-08-09,30329
2020-08-08,30329
2020-08-07,30328
2020-08-06,30315
2020-08-05,30311
2020-08-04,30300
2020-08-03,30298
2020-08-02,30268
2020-08-01,30268
2020-07-31,30268
2020-07-30,30257
2020-07-29,30241
2020-07-28,30227
2020-07-27,30214
2020-07-26,30196
2020-07-25,30196
2020-07-24,30196
2020-07-23,30186
2020-07-22,30175
2020-07-21,30169
2020-07-20,30182
2020-07-19,30158
2020-07-18,30158
2020-07-17,30155
2020-07-16,30142
2020-07-15,30125
2020-07-14,30037
2020-07-13,30035
2020-07-12,30012
2020-07-11,30012
2020-07-10,30009
2020-07-09,29983
2020-07-08,29967
2020-07-07,29936
2020-07-06,29925
2020-07-05,29895
2020-07-04,29896
2020-07-03,29896
2020-07-02,29878
2020-07-01,29865
2020-06-30,29846
2020-06-29,29816
2020-06-28,29781
2020-06-27,29781
2020-06-26,29780
2020-06-25,29754
2020-06-24,29735
2020-06-23,29722
2020-06-22,29668
2020-06-21,29644
2020-06-20,29638
2020-06-19,29620
2020-06-18,29606
2020-06-17,29578
2020-06-16,29553
2020-06-15,29439
2020-06-14,29411
2020-06-13,29401
2020-06-12,29377
2020-06-11,29349
2020-06-10,29322
2020-06-09,29301
2020-06-08,29213
2020-06-07,29158
2020-06-06,29145
2020-06-05,29114
2020-06-04,29069
2020-06-03,29024
2020-06-02,28943
2020-06-01,28837
2020-05-31,28805
2020-05-30,28774
2020-05-29,28717
2020-05-28,28666
2020-05-27,28599
2020-05-26,28598
2020-05-25,28461
2020-05-24,28372
2020-05-23,28452
2020-05-22,28366
2020-05-21,28218
2020-05-20,28136
2020-05-19,28025
2020-05-18,28242
2020-05-17,28113
2020-05-16,27630
2020-05-15,27532
2020-05-14,27430
2020-05-13,27079
2020-05-12,26994
2020-05-11,26646
2020-05-10,26383
2020-05-09,26313
2020-05-08,26233
2020-05-07,25991
2020-05-06,25812
2020-05-05,25537
2020-05-04,25204
2020-05-03,24898
2020-05-02,24763
2020-05-01,24566
2020-04-30,24349
2020-04-29,24060
2020-04-28,23634
2020-04-27,23267
2020-04-26,22830
2020-04-25,22588
2020-04-24,22219
2020-04-23,21829
2020-04-22,21313
2020-04-21,20769
2020-04-20,20241
2020-04-19,19694
2020-04-18,19305
2020-04-17,18664
2020-04-16,17903
2020-04-15,17150
2020-04-14,15712
2020-04-13,14969
2020-04-12,14396
2020-04-11,13835
2020-04-10,13199
2020-04-09,12214
2020-04-08,10874
2020-04-07,10330
2020-04-06,8914
2020-04-05,8081
2020-04-04,7562
2020-04-03,6509
2020-04-02,5387
2020-04-01,4778
2020-03-31,3526
2020-03-30,3026
2020-03-29,2608
2020-03-28,2314
2020-03-27,1996
2020-03-26,1697
2020-03-25,1333
2020-03-24,1102
2020-03-23,862
2020-03-22,676
2020-03-21,563
2020-03-20,451
2020-03-19,244
2020-03-18,149
2020-03-17,149
2020-03-16,149
2020-03-15,91
2020-03-14,91
2020-03-13,79
2020-03-12,48
2020-03-11,48
2020-03-10,33
2020-03-09,25
2020-03-08,19
2020-03-07,16
2020-03-06,9
2020-03-05,7
2020-03-04,4
2020-03-03,4
2020-03-02,3
2020-03-01,2
2020-02-29,2
2020-02-28,2
2020-02-27,2
2020-02-26,2
2020-02-25,1
2020-02-24,1
2020-02-23,1
2020-02-22,1
2020-02-21,1
2020-02-20,1
2020-02-19,1
2020-02-18,1
2020-02-17,1
2020-02-16,1
2020-02-15,1
2020-02-14,0
2020-02-13,0
2020-02-12,0
2020-02-11,0
2020-02-10,0
2020-02-09,0
2020-02-08,0
2020-02-07,0
2020-02-06,0
2020-02-05,0
2020-02-04,0
2020-02-03,0
2020-02-02,0
2020-02-01,0
2020-01-31,0
2020-01-30,0
2020-01-29,0
2020-01-28,0
2020-01-27,0
2020-01-26,0
2020-01-25,0
2020-01-24,0
